text;definition;example;frequency;category
in the wake of;Following, as a result of.;Dominique Strauss-Kahn resigns his position as head of the International Monetary Fund in the wake of sexual assault charges.;0;general
in the zone;Focused;He's doing a good job. He's in the zone!;0;general
in this day and age;In the present.;In In this day and age, horrible crimes are very common occurrence.;0;age
in tune (with somebody/something);Said when you have a good understanding of someone or something.;He was in tune with new technologies.;0;technology and science
in two shakes of a lamb's tail;In a very short time.;He did the job in two shakes of a lamb's tail.;0;animals
in your dreams;This idiom means that you don't believe that something which is desired by someone will happen.;Marry a star? In your dreams!;0;dreams
into a jam;In a difficult situation.;He found himself in a jam when he was caught cheating.;0;food
it beats me;Used to suggest that you don't understand something.;It beats me how she passed the exam.;0;sport
it goes without saying;This idiom refers to something that is so obvious that it is needless to say it.;It goes without saying that you have to wake early tomorrow morning if you want to participate in the marathon competition.;0;language
It has someone's name on it;Said about somthing that belongs to someone or meant for someone.;This piece of cake has my name on it.;0;names
it never rains but it pours;This idiom is used to mean that things do not just happen occasionally, but all all at the same time.;I woke up late, missed the bus and when I arrived to work I realized I lost my purse. It never rains but it pours.;0;weather
it takes two to tango;This idiom means that for something to work properly the cooperation of both parties is needed.;For the success of the negotiations, both companies should make some concessions, it takes two to tango, you know.;0;music
it's a jungle out there;This idiom refers to a threatening environment where it is difficult to survive.;Working in that company is so difficult. It's a jungle out there.;0;nature
It's about time;Used to express impatience at the eventual occurrence of something that should have occurred a long time ago.;It's about time that women should be considered equal to men in this country.;0;time
it's all Greek to me;This idiom is referring to something that is not understandable.;My friend tried to explain to me how to use a new software he had developed, but it was all Greek to me.;0;language
it's not rocket science;Something not difficult to understand.;Swimming is not a rocket science.;0;technology and science
itchy feet;Feeling of a need to travel.;She has itchy feet again. She says she will travel to Brazil.;0;travel
It is your funeral;Used to mean that if someone has to face the consequences of his or her actions.;Do not come back. It will be your funeral.;0;death
jack-of-all-trades;Said about someone who is able to do many things.;He can do many jobs, he's really a jack-of-all-trades;0;names
jam on the brakes;To press the brakes suddenly and in a hard way.;I had to jam on the brakes because a kid suddenly appeared from nowhere and crossed the road.;0;general
jangle someones's nerves;To annoy someone or or make them nervous.;She's a real Jekyll and Hyde. You never know when she will become unpleasant.;0;names
Joe Bloggs;An average typical man.;This car is very expensive and is not the sort of thing that Joe Bloggs would buy.;0;names
John Hancock;A person's signature.;Put your John Hancock at the bottom of the page.;0;names
join the club;Said as a reply to someone to mean that they are in the same situation.;I've got problems with my husband these days. Join the club!;0;relationship
jump on the bandwagon;To profit from a craze, to join a trend.;After the incredible success of the new product, the company has jumped on the bandwagon, and released a new version of it.;0;travel
jump the gun;This idiom means to act too soon, before the right time.;They jumped the gun and decided to get married before really knowing each other.;0;war
jump the lights;To pass a set of traffic lights when they are not showing green.;It's dangerous to jump the lights. You may have a terrible accident.;0;travel
just what the doctor ordered;This idiom means exactly what is required or wanted.;Orange juice? Thanks! Orange juice is just what the doctor ordered.;0;health
Justice is blind;This idiom means that justice is impartial and objective.;No matter who you are, you must respect the law. Justice is blind!;0;law
keep a civil tongue;To speak politely.;Please don't talk like that to each other. Keep a civil tongue!;0;parts of the body
keep an eye on;This idiom means to watch or look after something or someone.;Please keep your eye on my son while I go to the toilet.;0;parts of the body
keep body and soul together;To be able to pay for your food, clothing and somewhere to live.;He earns barely enough to keep body and soul together.;0;parts of the body
keep one's eye on the ball;To remain alert to the events occurring around oneself.;To be successful in this business, you'll have to keep your eye on the ball.;0;sport
keep one's eye open;To remain alert and watchful.;Please keep your eyes peeled for the children.;0;parts of the body
keep one's eyes peeled;To be on the alert, to be watchful;I will keep my eyes peeled for your call.;0;parts of the body
keep somebody in stitches;To keep somebody laughing hard or amused.;The show kept me in stitches the whole time.;0;general
keep tabs on;to monitor, to keep track of, to watch.;If you are careful to keep tabs on your finances, you should be able to stay within a budget.;0;general
keep the wolf from the door;To have enough money to be able to ward off poverty or hunger.;They were really very poor, but they had enough to keep the wolf from the door.;0;animals
keep up the good work;This idiom is used to encourage a person to continue doing the good things they are doing now.;Well done! I couldn't have done it better myself. Keep up the good work.;0;work
keep your chin up;This idiom is used to encourage someone who has to bear some difficult circumstances.;He keeps his chin up despite his severe illness.;0;parts of the body
keep your head above water;Be just able to make enough money to survive.;After his financial problems,he can hardly keep his head above water.;0;parts of the body
keep your powder dry;Be cautious and prepared for the worst.;Trust in God, and keep your powder dry.;0;war
kick the bucket;To die.;Sad news! He kicked the bucket.;0;general
kill time;This idiom means to spend time doing nothing in particular.;He had nothing in particular to do, so he went for a walk downtown to kill time.;0;time
kiss of death;Something that may seem good and favourable but that actually brings ruin to hopes, plans, etc.;Her mariage to that guy was the kiss of death for Leila's happiness.;0;death
kissing cousin;A distant relative.;I and Daniel are kissing cousins.;0;relationship
knit one's brow;To frown or look worried, angry or puzzled.;She knitted her brows as she listened to the strange story.;0;parts of the body
know something inside and out;To know something very thoroughly.;He's still new to their system, but he knows databases inside and out and will understand the rest soon.;0;general
labor of love;This idiom refers to a work that brings you great pleasure.;John helps street children get basic education as a labor of love.;0;work
lame duck;Someone or something that is disabled, helpless, ineffective, or inefficient.;What do you expect from a lame-duck mayor?;0;animals
larger than life;Very imposing, renowned, or impressively influential.;He is such a special man, somewhat larger than life.;0;life
laugh up your sleeve;To be secretly amused.;They're very polite in your presence, but you get the feeling they're laughing up their sleeves.;0;clothes
law of the jungle;This idiom means survival of the strongest or the fittest.;Some economists think that capitalism is governed by the law of the jungle.;0;law
law unto oneself;This idiomatic expression describes a person who behaves in an independent way, ignoring rules and what is generally accepted as correct.;Leila is a law unto herself, she doesn't want to abide by the rules.;0;law
lay down the law;Tell people what they should do in a forceful and stern way.;Please don't lay down the law, we know what we have to do.;0;law
learn by heart;To memorize something.;She learned the poem by heart.;0;parts of the body
leave the nest;This idiom means to move from one's parents' home. Such a move is mainly motivated by a desire for independence.;My son left the nest at the age of 21 and the house seems empty without him now.;0;age
let sleeping dogs lie;To leave things as they are to avoid trouble.;It would be best to let sleeping dogs lie and not discuss the problem any further.;0;animals
let the cat out of the bag;To reveal a secret, usually accidentally.;She wasn't supposed to know about it. Someone must have let the cat out of the bag.;0;animals
licence to print money;To generate a lot of money without much effort.;Advertizing companies are just a licence to print money.;0;money
lick someone's boots;This idiom means to act in a servile or obsequious way toward someone, especially to gain favor from them.;She seizes every opportunity to lick the boss's boots.;0;clothes
lie like a rug;This idiom means to tell lies shamelessly.;She says she didn't kill him, but the detective knows she's lying like a rug.;0;furniture
light skirt;This idiom refers to a loose woman, a prostitute.;Don't call her a light skirt. She is a respectable woman.;0;clothes
like chalk and cheese;To be different although to be superficially alike.;His two sons are like chalk and cheese.;0;food
like father, like son;This idiom indicates that fathers and sons resemble each other or that sons tend to behave like their fathers.;Alan decided to start a business online - like father, like son.;0;relationship
like mother, like daughter;This idiom means that daughters resemble their mothers.;Like mother, like daughter. Her mother is mad about fashion, too.;0;relationship
like water off a duck's back;Without any effect.;He has always been criticized for many things, but he didn't care. It would be like water off a duck's back.;0;animals
lion's share;The majority, a large or generous portion.;The gang stole a lot of money from the bank. But the lion's share of the money went straight into the leader's pocket.;0;animals
live on borrowed time ​;This idiom means to continue living after the time you would have expected to have died. The idiom may also refer to something that continues to exist longer than expected.;The company lost a lot of money. It is living on borrowed time.;0;time
loaded language;This idiom refers to a wording that aims at exerting an influence on an audience by using appeal to emotion or stereotypes.;Don't be fooled by commercials, they use a lot of loaded language.;0;language
lock and load;This idiom means to prepare for an imminent event.;It's time to lock and load.;0;war
lock horns;To come into conflict.;I don't want to lock horns with you. Let's settle this peacefully.;0;music
long in the tooth;Very old.;I think he is a bit long in the tooth to be a romantic hero in that play.;0;age
look like mutton dressed as lamb;Said about a woman who tries to look much younger.;Her skirt is too short. She looks like mutton dressed as lamb.;0;animals
loose cannon;This idiom refers to a person who is unpredictable or uncontrolled and who is likely to cause unintentional damage.;He is considered a loose cannon because he is unable to control himself.;0;war
lose your shirt;To lose all your money as a result of gambling or bad investment.;He lost his shirt yeterday in the casino.;0;clothes
love at first sight;An instantaneous attraction;It was love at first sight when we met.;0;love
love is blind;This idiom means that a person who is in love can see no faults or imperfections in the person who is loved.;I can't see why Leila likes Tim. He isn't even good-looking. Love is blind.;0;love
love me, love my dog;This idiom means that if you love someone, you must be willing to accept everything about them.;"Alan decided to get married to Lisa although her brother was a drug dealer. When they started their relationship, she often insisted: ""love me, love my dog.""";0;love
love nest;A place where a couple can enjoy each other's company.;They rent an apartment which has become their love nest.;0;love
love somebody to death;To love somebody very much.;He loves her to death.;0;death
love someone to bits;This idiom means to love someone very much.;She is the woman I love to bits.;0;love
love-hate relationship;An interpersonal relationship involving simultaneous or alternating emotions of love and hate.;He has a love-hate relationship with his mother.;0;relationship
love-hate relationship;This idiom refers to a relationship that involves both love and hatred.;Nancy has a love-hate relationship with her mother.;0;love
lovely weather for ducks;Rainy weather.;What's the weather like there? It's a lovely weather for ducks.;0;weather
low man on the totem pole;The least important man in a hierarchy or organization. (Opposite: high man on the totem pole);He's not the man to talk to. He's just the low man on the totem pole.;0;religion
low-hanging fruit;This idiom refers to something that is easily achieved or obtained or to something that can be obtained by readily available means.;After they started their small company, they wanted to go after the low-hanging fruit.;0;food
low-life;A person who is considered morally unacceptable by their community such as thieves, drug dealers, drug users, alcoholics, thugs, prostitutes and pimps.;I saw him with a bunch of lowlifes.;0;life
made of money;Be rich.;She can't have another car.Her husband is not made of money!;0;money
made out of whole cloth;This idiom means entirely false - without factual basis, entirely fabricated.;I don't believe what he says. It is made out of whole cloth to me.;0;clothes
magic touch;A special skill to do something very well.;Her magic touch is so obvious in the decoration of her house.;0;general
magic wand;A quick and an easy way to solve a problem;The manager warned that he had no magic wand to solve the problem.;0;general
make a clean breast of;To tell the truth, to confess.;After he had lied about the stolen money, he was urged to make a clean breast of it.;0;parts of the body
make a fast buck;To earn money without much effort.;If you have got any idea of how to make a fast buck, please tell me!;0;money
make a man of someone;To make a young person become more experienced or act like an adult and take responsibility.;A couple of years in a foreign country will make a man of him.;0;men and women
make a monkey out of;To cause a person, group, or action to appear foolish or inferior, to subject someone or something to ridicule.;Don't make a monkey out of me. You'll regret it.;0;animals
make a mountain out of a molehill;To exagerate the severity of a situation, to make a lot of fuss about nothing.;You're making a mountain out of a molehill. You didn't mean to hurt her.;0;nature
make a pig of oneself;Said about someone who eats too much or too fast.;He made a pig of himself at lunch.;0;animals
make an honest buck;This idiom means to make an honest living.;After being behind bars for almost five years, he finally tasted freedom and started making an honest buck.;0;money
make chin music;Talk or chatter.;The boss was furious because he found them sitting there making chin music instead of doing the job.;0;music
make heavy weather of something;To find something hard to do and make a fuss about it although it is not difficult.;He's making heavy weather of his share of work.;0;weather
make love, not war;A hippie anti-war slogan encouraging love and peace.;Why don't you stop fighting! Make love not war!;0;love
make one's way;To move in a particular direction, advance in life by one's own efforts.;He made his way to the police station and told all about the murder.;0;travel
make somebody's mouth water;When the smell or sight of food is extremely good it makes your mouth water.;The smell of that roast chicken is making my mouth water.;0;parts of the body
make waves;To cause trouble.;Please don't make waves. We're trying to settle all our problems.;0;nature
make yourself at home;This idiom means that you ask someone to consider him as if he was in his own home.;Can I get in? Yes please, make yourself at home!;0;home
man cannot live by bread alone;Used to mean that things like poetry, art, music, etc are necassary for people just as food.;People need to read some poetry! Man cannot live by bread alone.;0;men and women
man in the street;This idiom is used to describe an ordinary person.;Generally speaking, politicians are rarely concerned with the needs and interests of the man in the street.;0;men and women
man of his word;This idiom refers to someone whom you can trust because he keeps his promises and always do what he says.;You can count on me. If I say that I'm going to help you, I will do it. I'm a man of my word.;0;men and women
man of means;This idiom refers to someone who is very rich.;What a beautiful car! He must be a man of means.;0;men and women
man of straw;A weak person.;When his wife needed his support, he run away and left her facing all the problems all alone. That is why, she called him a man of straw after all.;0;men and women
man's home is his castle;This idiom suggest tha people are free to do whatever they want to in their own home;He was furious when they told him not to listen to his favorite music in his own home. He told them that a man's home is his castle.;0;home
mark my words;Listen to me, used before a statement one wishes to emphasize.;Mark my words, this boy is going to become a great poet.;0;general
marked man;This idiom refers to someone who is singled out as a target for vengeance or attack.;As a witness to the murder, he knew he was a marked man.;0;men and women
marry money;To marry a rich person.;She married money and got rich.;0;money
match made in heaven;This idiom refers to two people, so well-suited to each other that their marriage is likely to be happy and successful.;As soon as they met, they liked each other and decided they should get married. They were really a match made in heaven.;0;love
matter of time;This idiom is used to say that something will certainly happen.;It is only a matter of time before he resigns.;0;time
meat and two veg;The male genitals.;Everybody could see his meat and two veg because his trousers were so tight.;0;sexuality
Mecca for someone or something;A place that a lot of people visit because it is known for something that they want to see or do.;Milan is a Mecca for fashion.;0;religion
meet one's death;To die.;A friend of mine met his death when he got hit by a car.;0;death
meet your Waterloo;Defeated by someone who is stronger or by a problem that is very difficult to surmount.;He met his Waterloo when he was challenged by the young contestant.;0;war
memory like a sieve;This idiom means to have a very poor memory.;He's got a memory like a sieve;0;furniture
men in blue;This idiom refers to the police or policemen.;The men in blue are chasing the drug dealer.;0;men and women
men make houses, women make homes;It's often the men who build or acquire houses for their families, but it's usually women who provide the things that make a house into a home.;When her husband bought the house, she took charge of decorating and tidying it up. It's true that men make houses, women make homes.;0;home
middle of the road;having a centrist attitude or philosophy, not extreme, especially politically.;A typical middle of the road compromise is to leave the problem as it is.;0;general
minting money;Earning a lot of money quickly.;Since the arrival of the new manager, the restaurant is minting money.;0;money
misery loves company;This idiom means that if someone is miserable, they like others to be miserable too so that they can feel better about themselves.;I see that you got into a lot of trouble, but since your colleague is in trouble too, that makes you feel better. Misery loves company, doesn't it?;0;love
miss the boat;To fail to take advantage of an opportunity.;The price discount ended yesterday and I just missed the boat on a great deal.;0;travel
Mister Right;A perfect, ideal or suitable mate or husband.;She waited for years and years, hoping someday to find Mister Right.;0;general
moment in the sun;A brief instance in which an otherwise obscure, unremarkable, or humble person draws attention.;That band got their moment in the sun during the 70s.;0;time
moment of truth;A deciding instant, the time when a test determines or makes it apparent whether something will succeed.;This is the moment of truth, answer the questions of the test.;0;time
money for jam;Said about a job when it is an easy way of earning money.;Selling ice-cream is money for jam when it is very hot.;0;money
money for old rope;Said about a job when it is an easy way of earning money.;Selling ice-cream is money for old rope when it is very hot.;0;money
money spinner;A business or product that makes a lot of money for someone.;Internet commerce is becoming a real money-spinner.;0;money
money talks;This idiom suggest that with money people can get whatever they want.;She got what she wanted. Well you know money talks!;0;money
music to someone's ears;Some good news, a spoken expression or a sound which is pleasing, a welcome remark or information.;The kind flattering way he used to talk to her was music to her ears.;0;music
my gut tells me;This idiom means my instincts tell me.;Although his idea seems to be a sound one, my gut tells me that it won't work.;0;parts of the body
my way or the highway;This expression is used to say that people have to do what you say, otherwise, they will have to leave or quit the project.;"He has a ""My way or the highway"" approach to leading his government and his party.";0;travel
naked as a jaybird;This idiom means completely naked.;She walked out into the dinning room naked as a jaybird;0;animals
name is mud;To be in trouble, disgraced, or discredited.;If she doesn't prove her innocence, her name will be mud.;0;names
name the day;Fix the date of an important event, especially marriage.;Sarah and John are going to name the day soon.;0;time
Nature abhors a vacuum;This idiom is attributed to Aristotle. It means every space in nature needs to be filled with something.;Nature abhors a vacuum and that presidential candidate is filling it with his populist promises and pompous declarations;0;nature
necessity is the mother of invention;This idiom means that when people really need to do something, they will find a way to do it.;When her pen had run out of ink, she used her lipstick to write a short note to her husband who was at work.;0;relationship
necessity knows no law;This idiom means that being desperate and having no means may lead you to do illegal things.;He was dealing in illegal drugs because he had to feed four kids. Necessity knows no law.;0;law
neither fish nor fowl;Said of something not easily categorized or not fitting neatly into any established group.;I can't see what you want to say. Your proposal is neither fish nor fowl.;0;animals
nervous Nellie;This idiom refers to someone whose personality and usual behavior are characterized by worry, insecurity, and timidity.;He is a nervous Nellie. He can't make a decision without the approval of wife.;0;names
never mind;Do not be concerned .;Never mind.;0;general
next to nothing;Almost, hardly.;Although they paid him next to nothing, he liked the job.;0;general
nine times out of ten;Almost always.;In this country, nine times out of ten trains come late.;0;numbers
nine to five;Said about a job with normal daytime hours, a job that begins at nine o'clock in the morning and finishes at five.;She's tired of working nine to five.;0;numbers
no comment;"An ""official"" refusal to relay any further information, as a response to a newspaper reporter's question.";"The district attorney said, ""No comment,"" when the reporter asked if he knew the identity of the criminal.";0;general
no spring chicken;Said of a person who is no longer particularly young.;Although he's no spring chicken, he runs fast.;0;animals
no use to man or beast;Said about something or someone that is completely useless.;That old car is no use to man or beast.;0;men and women
not bat an eyelid;This idiom means to show no reaction or not to display even a hint of an emotional response.;She didn't even bat an eyelid when they told her that her husband had an affair with his secretary.;0;parts of the body
not be short of a bob or two;This idiom means to have a lot of money.;Her husband is not short of a bob or two.;0;names
not come cheap;Said about something that is of good quality and is therefore expensive.;Fast cars don't come cheap.;0;money
not enough room to swing a cat;Said abut a small place.;Their house was very small. There wasn't enough room to swing a cat.;0;animals
not for a minute;Not at all.;I don't want you to fail in your project. Not for a minute.;0;time
not half bad;Pretty good, okay, decent.;It was my first attempt at cooking, but I tried it and it was not half bad.;0;general
not have a cat in hell's chance;Not to be able to achieve something.;He hasn't a cat in hell's chance of getting the money he needs for the project.;0;animals
not have a leg to stand on;Not have a sound justification, a firm foundation of facts to prove something.;After the police caught him, he didn't have a leg to stand on to prove his innocence.;0;parts of the body
not have a snowball's chance in hell;Not to be able to achieve something.;He hasn't a snowball's chance of getting the money he needs for the project.;0;religion
not hold water;Said when an explanation, a reason or an argument is not sound, strong or logical.;Her reasons just didn't hold water.;0;nature
not in a million years;This idiom means never, not at any point or under absolutely no circumstances.;"Do you think Liz will marry James? Not in a million years!""";0;time
not miss a trick;Said about someone who is extremely alert.;He was attentive to what the teacher was explaining. He didn't miss a trick.;0;general
nothing is certain but death and taxes;This idiom means that everything in life is uncertain. The only things that you can be sure of are:;I can't believe how much tax money we have to pay for setting up this business. You know, nothing is certain but death and taxes.;0;death
nothing to sneeze at;Not bad, decent, acceptable, worthwhile.;Their music may not be worthy of radio time, but it's nothing to sneeze at.;0;general
now or never;Said when you have to do something right now because you may not get another chance to do it later.;This is your chance. It's now or never!;0;time
nurse someone back to health;To look after a sick person until he recovers.;He is fortunate to have such a caring wife.She was glad to nurse him back to health.;0;health
oceans of;A large amount of something.;Oceans of guests were at the party.;0;nature
odd duck;An unusual person, especially an individual with an idiosyncratic personality or peculiar behavioral characteristics.;This boy is an odd duck in many ways. Unlike his peers, he has no hobbies.;0;animals
odds and ends;Various often worthless small items.;I have to get rid of a few odds and ends before moving to the new house.;0;general
of a certain age;Said about people who are not young.;This shop sells clothes for women of a certain age.;0;age
of advanced age;This idiom describes someone as old.;The conference is about the effect of advanced age on fertility and pregnancy in women.;0;age
of age;Old enough to be considered an adult.;He's of age now, he can buy his own car.;0;age
of the first water;Of the best.;She is of the first water, a fine lady indeed.;0;nature
off the beaten track;To a place or places not commonly visited.;His trip was altogether off the beaten track which had never been traversed any European.;0;travel
off the shelf;In a form that is ready to be used.;It is often cheaper to buy off the shelf goods.;0;furniture
off the wagon;This idiom refers to someone who no longer abstains from a habit or an addiction like alcoholic drinks.;In spite of falling off the wagon several times, he eventually succeeded in quitting.;0;travel
old wives' tale;A wrong traditional theory or belief, often about health.;The idea of drinking alcohol to relieve you from flu is an old wives' tale.;0;men and women
on all fours;This idiom means on one's hands and knees.;He was on all fours, with his daughter on his back.;0;numbers
on in years;Old, advanced in age.;My wife is dead and I am getting on in years.;0;age
on the face of it;On the surface.;On the face of it, she seems innocent. But when the police investigated her case, they discovered that she was guilty.;0;parts of the body
on the horns of a dilemma;To face a choice between two equally undesirable alternatives.;I found myself on the horns of dilemma and I didn't know which direction to choose.;0;music
on the run;Fleeing or running from the police.;The murderer is still on the run.;0;crime
on the same wavelength;Thinking in the same pattern or in agreement.;They've done a good job because they were on the same wavelength.;0;technology and science
on the table;Being discussed or considered.;Everybody agreed to leave the plan to build a new school in our town on the table.;0;furniture
on the take;This idiom is used to describe a person who is in a position of authority and takes or seeks to take bribes or illegal income.;This is a country where many officials are on the take.;0;crime
on the wagon;To abstain from drinking any alcoholic drink, usually in the sense of having given it up;No, thank you! No alcohol for me I am on the wagon.;0;travel
once bitten, twice shy;This idiom means that once someone was hurt by something or someone, they will be afraid to try it again.;Since Leila broke up with her boyfriend, she has become very cautious about starting any new relationship. Once bitten, twice shy, you know!;0;numbers
once in a blue moon;This idiom means not very often or very rarely.;She sees him once in a blue moon.;0;time
one of a kind;This idiom means to be unique or special.;She was an extraordinary woman. She was really one of a kind.;0;numbers
one's word is law;This idiom means that what someone says must be obeyed.;There's no point trying to do things differently. The manager's word is law around here. Just do what he asks you to do.;0;law
one-day wonder;This idiom refers to something or someone that attracts great interest for a short time but is subsequently forgotten.;Their performance was just a one-day wonder.;0;time
one-off;Occurring once, one-time.;It is a one-off event.;0;numbers
out of the blue;Something which is totally unexpected.;She sent him a letter, out of the blue, telling him that she was in love with another guy.;0;colors
over my dead body;This idiom means that you will not allow something to happen.;He says he will become our boss. Over my dead body!;0;parts of the body
over the hill;Too old to perform as well as before.;You say you are over the hill, but see how you run as fast as your son!;0;age
pack a wallop;To provide energy, power, or excitement.;This drink really packs a wallop.;0;general
paddle one's own canoe;To act independently and decide your own fate, to do something by oneself.;He's been left to paddle his own canoe when he started his business.;0;travel
pain in the neck;An annoyance.;The teacher's last assignment is really a pain in the neck.;0;parts of the body
paint something with a broad brush;This idiom means to describe something in general terms, without mentioning specific details and without paying attention to individual variations.;When asked about his policy to reform the educational system, the president painted his plan with a broad brush.;0;art
pass the buck;To blame others for something you shoud accept reponsibilty for.;It's not my fault. Don't try to pass the buck!;0;general
pass the hat around;To collect money by asking people or organizations.;They passed the hat round as they needed money to rebuild the poor neighbors' house.;0;clothes
patience of Job;This idiom means to have a great amount of patience.;In spite of their extreme poverty, they managed to raise ten children. They really have the patience of Job.;0;names
patient as Job;This idiom means very patient.;You have to be as patient as Job to have a talk with that nasty woman.;0;names
pay dearly;To suffer because of a particlar action.;If you don't work hard, you will pay dearly for it.;0;general
pay lip service;An insincere loyalty, respect, or support for something;He says he supports the idea of voluntary work, but in fact he's just paying lip service.;0;parts of the body
pay your dues;This idiom means to earn respect or a position by a lot of hard work and sacrifice.;They want me to resign, but everybody knows that I paid my dues to get this position.;0;money
pick of the bunch;The best.;The dress she's wearing is the pick of the bunch.;0;general
pick up the tab;This idiom means to pay the bill.;John picks up the tab whenever he has dinner with his friends.;0;money
picture of health;In a very healthy condition.;The doctor told him that he is a picture of good health.;0;health
picture paints a thousand words;A picture will be far more descriptive of something than words can ever be.;Just show him the photos and he will understand. You know a picture paints a thousand words.;0;general
pipe dream;This idiom refers to a goal that is impossible to accomplish.;His plan is unrealistic. It is no more than a pipe dream.;0;dreams
play a joke;To deceive someone for fun.;On April fool's day some people play practical jokes on their friends.;0;relationship
play away from home;To be unfaithful, to have sex with someone who is not your usual partner.;She stuck on her decision to divorce because she discoverd her husband playing away from home.;0;sexuality
play ball;To cooperate and agree to work with others.;The manager asked him to play ball if he wants things to go well.;0;sport
play cat and mouse;To tease, confuse or fool someone by trying to trick them into making a mistake so that you have an advantage over them.;The famous businessman spent his time playing cat and mouse with the judge.;0;animals
play hardball with someone;This idiom means to act rough and ruthless with someone.;I want to get my money back from him. So, I decided to play hardball.;0;sport
play second fiddle;To take a subordinate or weaker position than someone else.;Bill doesn't want to play second fiddle to his colleague any more. He feels he is more trained and more experienced.;0;relationship
play the field;To have many sexual relationships.;He's not the kind of person to think of getting married. He's quite happy to play the field.;0;sexuality
poetic justice;This idiom refers to a situation in which virtue is rewarded and vice is punished, in such a way that this justice seems proper and ironic.;It is poetic justice that the economic crisis is affecting the bankers who are blamed for causing it in the first place.;0;art
poetry in motion;Something graceful and beautiful to observe.;The girl was like poetry in motion when she was dancing.;0;art
poison pill;This idiom refers to is a type of defensive tactic used by companies against a takeover.;Many companies have used poison pill strategies against hostile takeovers.;0;health
poverty is no sin;This idiom means that we shouldn't condemn people for their poverty.;It is a pity that the police are chasing those beggars. Poverty is no sin.;0;religion
poverty is not a crime;This idiom is used to mean that it is not a crime to be poor and that we shouldn't condemn people for their poverty.;I don't know why the police are chasing those poor people out of town. Poverty is not a crime.;0;crime
preach to the choir;This idiom means to ​try to convince people of something that they already ​believe.;You are just preaching to the choir. It is pointless to convince us of the value of exercising. We all agree that exercising is good for our health.;0;religion
pressed for time;This idiom means that you are in a hurry.;I am sorry, I can't talk to you right now, I'm pressed for time.;0;time
prick of conscience;This idiom indicates a feeling of guilt. The idiom makes reference to a feeling that causes a sharp mental pain or remorse.;The picture of the dead Syrian boy lying face down in the sand on a Turkish beach pricked my conscience.;0;crime
public enemy number one;This idiom refers someone or something that people hate.;That terrorist is considered public enemy number one.;0;numbers
pull in one's horns;To become less impassioned, aggressive, or argumentative, to back down from a fight, to yield or capitulate.;They stopped making investments. They pulled in their horns.;0;music
pull somebody's leg;To tease or fool someone when trying to convince them to believe something which is not true as a joke.;Are you pulling my leg? Is it really your house?;0;parts of the body
Pull the other leg;Used when you do not believe what someone has just said.;Sue, writing poems? Pull the other leg - she can't even write a correct sentence!;0;parts of the body
Pull the other one;Used to tell someone that you don't believe what they have just said.;Sue, writing poems? Pull the other one - she can't even write a correct sentence!;0;numbers
pull the plug;This idiom means to put an end to an activity, preventing it from continuing.;They are going to pull the plug on the new TV show because it didn't get any sponsors.;0;technology and science
puppy love;A childish or youthful infatuation with another person.;As they were still very young nobody took their puppy love seriously.;0;love
push someone's buttons;Draw a strong emotional reaction from someone, especially anger or sexual arousal.;Don't push my buttons with your silly comments.;0;technology and science
put the cart before the horse;To put things in the wrong order;To attempt to remove the armaments before removing these substantive conflicts of interest is to put the cart before the horse.;0;travel
put a smile on someone's face;This idiom means to please someone or make someone happy.;I know the surprise party will bring a smile to his lips.;0;parts of the body
put money on somebody or something;To bet money or to believe that someone will accomplish something or that something will happen.;He will pass the exam - I'd put money on it.;0;money
put on a brave face;To pretend that a problem doesn't bother you.;He looks calm, but I suspect he's just putting on a brave face.;0;parts of the body
put one's heart into something;This idiom means to put all your energy and sincere effort into something, to work hard in order to do or get something.;They are putting their hearts into producing innovative products that would utterly change people's lives.;0;parts of the body
put one's mind to it;To apply oneself, to exert a directed effort.;You can do anything, if you put your mind to it.;0;parts of the body
put the cat among the pigeons;To create a disturbance and cause trouble.;The principal put the cat among the pigeons when he informed the students that the excursion was cancelled.;0;animals
put the pedal to the metal;To press the gas pedal to the maximum extent, to exert maximum effort.;You have to put the pedal to the metal if you want to get there on time.;0;travel
put words in somebody's mouth;To attribute to somebody something he or she did not say, to claim inaccurately that somebody said or intended something.;I hope I'm not putting words in your mouth. Did you just tell me to go home early?;0;parts of the body
put years on;To make someone look or feel much older.;Hi financial problems put years on him.;0;age
put yourself in someone's shoes;To see how it feels when you put yourself in someone's place.;What could I have done to solve the problem? Just put yourself in my shoes.;0;clothes
quake in one's boots;To be frightened, scared, or nervous.;The thought of climbing that high had him quaking in his boots.;0;clothes
question of time;Said about something that will surely happen.;The criminal will be arrested. It's just a question of time.;0;time
quick as a wink;This idiom means very quickly.;Please allow me five minutes of your time, I don't think you will be disappointed. I will finish the work as quick as lightening.;0;time
quick one;to have a drink before going somewhere.;Let's have a quick one before we go to work.;0;numbers
rabbit hole;A way into a bizarre world.;"School's starting up again, time to ""Go Down the Rabbit Hole"" once more.";0;animals
race against time;This idiom means to hurry to do something before a deadline.;They had only two days to finish the job, so they had to race against time.;0;time
rack one's brain;To think very hard about something.;I've racked my brain all day long, but I still can't remember where I put the keys.;0;parts of the body
rags to riches;This idiom refers to any situation in which a person rises from poverty to wealth.;He was homeless and went on to create the largest and most successful service company in the country. It's really a rags-to-riches story.;0;money
rain cats and dogs;To rain heavily. It's raining cats and dogs.;How come that you are going out in that storm? It's raining cats and dogs.;0;animals
